2022-11-26 05:10:31,787 INFO     Search BICs for /tmp/JacksonXml-3b/
2022-11-26 05:10:31,789 DEBUG    Reading the coverage of com.fasterxml.jackson.dataformat.xml.stream.XmlParserNextXxxTest::testXmlAttributesWithNextTextValue (failings)
2022-11-26 05:10:31,810 INFO     Loaded 1x122 Coverage Matrix
2022-11-26 05:10:31,815 INFO     The number of total commits: 601
2022-11-26 05:10:37,300 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <clinit> 43:43
2022-11-26 05:10:37,404 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:37,494 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <init> 84:84
2022-11-26 05:10:37,698 DEBUG                  - depth 0, hash bf64350, HEAD~214
2022-11-26 05:10:37,766 DEBUG                  - depth 1, hash ac97422, HEAD~596
2022-11-26 05:10:37,831 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <init> 104:123
2022-11-26 05:10:38,087 DEBUG                  - depth 0, hash f0f19a4, HEAD~17
2022-11-26 05:10:38,140 DEBUG                  - depth 1, hash 80b056c, HEAD~386
2022-11-26 05:10:38,179 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <init> 98:102
2022-11-26 05:10:38,362 DEBUG                  - depth 0, hash 4b49375, HEAD~341
2022-11-26 05:10:38,400 DEBUG                  - depth 1, hash 9b177dd, HEAD~412
2022-11-26 05:10:38,447 DEBUG                  - depth 2, hash ac97422, HEAD~596
2022-11-26 05:10:38,490 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java _createParser 551:567
2022-11-26 05:10:38,714 DEBUG                  - depth 0, hash 3507c38, HEAD~228
2022-11-26 05:10:38,806 DEBUG                  - depth 1, hash 76916a1, HEAD~328
2022-11-26 05:10:38,873 DEBUG                  - depth 2, hash 8377ad8, HEAD~468
2022-11-26 05:10:38,923 DEBUG                  - depth 3, hash b1cce7c, HEAD~471
2022-11-26 05:10:39,005 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java _initFactories 138:144
2022-11-26 05:10:39,194 DEBUG                  - depth 0, hash 9b177dd, HEAD~412
2022-11-26 05:10:39,253 DEBUG                  - depth 1, hash 57fbffd, HEAD~454
2022-11-26 05:10:39,333 DEBUG                  - depth 2, hash ac97422, HEAD~596
2022-11-26 05:10:39,394 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java _initializeXmlReader 647:654
2022-11-26 05:10:39,583 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:39,671 DEBUG    [single line]   com/fasterxml/jackson/dataformat/xml/XmlFactory.java copy 29
2022-11-26 05:10:39,909 DEBUG                  - depth 0, hash ac97422, HEAD~596
2022-11-26 05:10:50,223 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java <init> 79:79
2022-11-26 05:10:50,260 DEBUG                  - depth 0, hash 3bb8b8a, HEAD~413
2022-11-26 05:10:50,269 DEBUG                  - depth 1, hash ac97422, HEAD~596
2022-11-26 05:10:50,275 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java getCurrentName 321:337
2022-11-26 05:10:50,303 DEBUG                  - depth 0, hash 2d7683e, HEAD~47
2022-11-26 05:10:50,307 DEBUG                  - depth 1, hash b5bbfa6, HEAD~77
2022-11-26 05:10:50,313 DEBUG                  - depth 2, hash 320d5fb, HEAD~423
2022-11-26 05:10:50,316 DEBUG                  - depth 3, hash 7088e03, HEAD~451
2022-11-26 05:10:50,319 DEBUG                  - depth 4, hash ac97422, HEAD~596
2022-11-26 05:10:50,322 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java nextTextValue 600:694
2022-11-26 05:10:50,345 DEBUG                  - depth 0, hash ac88d66, HEAD~163
2022-11-26 05:10:50,350 DEBUG                  - depth 1, hash 7cebda9, HEAD~164
2022-11-26 05:10:50,353 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java nextToken 452:588
2022-11-26 05:10:50,396 DEBUG                  - depth 0, hash 7749b6f, HEAD~15
2022-11-26 05:10:50,402 DEBUG                  - depth 1, hash 2d7683e, HEAD~47
2022-11-26 05:10:50,406 DEBUG                  - depth 2, hash 3502de0, HEAD~66
2022-11-26 05:10:50,413 DEBUG                  - depth 3, hash ac88d66, HEAD~163
2022-11-26 05:10:50,419 DEBUG                  - depth 4, hash 5aba567, HEAD~166
2022-11-26 05:10:50,424 DEBUG                  - depth 5, hash 3bb8b8a, HEAD~413
2022-11-26 05:10:50,429 DEBUG                  - depth 6, hash 9d3997c, HEAD~419
2022-11-26 05:10:50,436 DEBUG                  - depth 7, hash fc00809, HEAD~422
